"","emoji","url","label","color"
"140","🤜","https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/right-facing-fist_1f91c.png","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/right-facing-fist_1f91c.png' width='25'/>","#FFD351"
"141","🤝","https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/handshake_1f91d.png","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/handshake_1f91d.png' width='25'/>","#FFDB65"
"142","🤡","https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/clown-face_1f921.png","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/clown-face_1f921.png' width='25'/>","#FF0000"
"143","🤦‍♂️","https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/man-facepalming_1f926-200d-2642-fe0f.png","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/man-facepalming_1f926-200d-2642-fe0f.png' width='25'/>","#FFCB2E"
"144","🤷‍♂️","https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/man-shrugging_1f937-200d-2642-fe0f.png","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/man-shrugging_1f937-200d-2642-fe0f.png' width='25'/>","#FFCC30"
"145","🤷🏼‍♀️","https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/woman-shrugging-type-3_1f937-1f3fc-200d-2640-fe0f.png","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/woman-shrugging-type-3_1f937-1f3fc-200d-2640-fe0f.png' width='25'/>","#DEB791"
"146","🤷🏽‍♀️","https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/woman-shrugging-type-4_1f937-1f3fd-200d-2640-fe0f.png","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/woman-shrugging-type-4_1f937-1f3fd-200d-2640-fe0f.png' width='25'/>","#BC8C67"
"147","🥩","https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/cut-of-meat_1f969.png","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/cut-of-meat_1f969.png' width='25'/>","#CB2319"
"148","🥮","https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/moon-cake_1f96e.png","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/moon-cake_1f96e.png' width='25'/>","#B03904"
"149","🦇","https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/bat_1f987.png","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/bat_1f987.png' width='25'/>","#4B3C31"
"150","🧡","https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/orange-heart_1f9e1.png","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/orange-heart_1f9e1.png' width='25'/>","#FB8B0B"
"151","😃","https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/smiling-face-with-open-mouth_1f603.png","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/smiling-face-with-open-mouth_1f603.png' width='25'/>","#FFA000"
"152","😄","https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/smiling-face-with-open-mouth-and-smiling-eyes_1f604.png","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/smiling-face-with-open-mouth-and-smiling-eyes_1f604.png' width='25'/>","#FFA000"
"153","😏","https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/smirking-face_1f60f.png","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/smirking-face_1f60f.png' width='25'/>","#FFA000"
"154","😟","https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/worried-face_1f61f.png","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/worried-face_1f61f.png' width='25'/>","#FFA000"
"155","😯","https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/hushed-face_1f62f.png","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/hushed-face_1f62f.png' width='25'/>","#FFA000"
"156","😱","https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/face-screaming-in-fear_1f631.png","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/face-screaming-in-fear_1f631.png' width='25'/>","#FEFEFE"
"157","😲","https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/astonished-face_1f632.png","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/astonished-face_1f632.png' width='25'/>","#FFA000"
"158","🙈","https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/see-no-evil-monkey_1f648.png","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/see-no-evil-monkey_1f648.png' width='25'/>","#BB925D"
"159","🙋🏿‍♀️","https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/woman-raising-hand-type-6_1f64b-1f3ff-200d-2640-fe0f.png","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/woman-raising-hand-type-6_1f64b-1f3ff-200d-2640-fe0f.png' width='25'/>","#5B473B"
"160","🙏🏻","https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/person-with-folded-hands_emoji-modifier-fitzpatrick-type-1-2_1f64f-1f3fb_1f3fb.png","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/person-with-folded-hands_emoji-modifier-fitzpatrick-type-1-2_1f64f-1f3fb_1f3fb.png' width='25'/>","#FAE0C1"
